Subject;Group;Map;FOnset;LOffset;NumTF;TfCentroid;MeanCorr;Gev;BCorr;TfBCorr;GfpTfBCorr;MaxGfp;TfMaxGfp;MeanGfp;MeanDur;TimeCov;SegDensity
Subject11;Group2;Map3;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject11;Group2;Map4;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject11;Group2;Map5;105;118;14;111.362040;0.967956;0.074206;0.975778;108;1.181373;1.181373;108;1.137298;14.000000;0.170732;0.012195
Subject12;Group2;Map1;73;84;12;78.527148;-0.530352;0.011651;-0.434354;84;1.055248;1.065773;73;1.043932;12.000000;0.146341;0.012195
Subject12;Group2;Map2;85;154;44;127.632253;0.095276;0.013753;0.758096;121;0.912306;1.507344;154;0.954799;18.439089;0.536585;0.024390
Subject12;Group2;Map3;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject12;Group2;Map4;95;105;11;100.880068;0.839207;0.066377;0.942245;103;1.890725;1.890725;103;1.455155;11.000000;0.134146;0.012195
Subject12;Group2;Map5;106;120;15;112.066076;0.876737;0.063920;0.941694;107;1.656811;1.716006;106;1.260340;15.000000;0.182927;0.012195
Subject13;Group2;Map1;129;141;13;135.195996;0.025826;0.000565;0.250277;129;1.111168;1.219011;141;1.061702;13.000000;0.158537;0.012195
Subject13;Group2;Map2;73;154;22;121.561240;-0.434925;0.024169;-0.179820;142;1.256123;1.441265;154;1.295805;10.816654;0.268293;0.024390
Subject13;Group2;Map3;89;113;19;99.617957;0.199011;0.003851;0.560924;108;0.897907;0.917212;99;0.856902;8.831761;0.231707;0.024390
Subject13;Group2;Map4;82;128;24;106.973706;0.277333;0.013602;0.567688;123;0.981523;1.200584;127;0.983006;5.957892;0.292683;0.048780
Subject13;Group2;Map5;119;122;4;120.497850;0.567814;0.003931;0.575214;121;0.975394;0.977383;120;0.973378;4.000000;0.048780;0.012195
Subject14;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject14;Group2;Map2;73;154;66;118.113915;0.615756;0.105699;0.879645;91;0.876989;1.333259;110;0.943506;30.740852;0.804878;0.024390
Subject14;Group2;Map3;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject14;Group2;Map4;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject14;Group2;Map5;94;109;16;101.901524;0.889279;0.081695;0.918777;98;1.238550;1.457276;105;1.308743;16.000000;0.195122;0.012195
Subject15;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject15;Group2;Map2;88;154;46;125.264176;0.278008;0.034905;0.828872;118;1.000000;1.024719;88;0.708160;18.248288;0.560976;0.024390
Subject15;Group2;Map3;73;117;30;97.573347;0.890298;0.116049;0.949891;104;1.179664;1.284267;113;1.028766;15.000000;0.365854;0.024390
Subject15;Group2;Map4;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject15;Group2;Map5;97;102;6;99.602168;0.860312;0.018351;0.932030;102;1.076836;1.076836;102;0.961692;6.000000;0.073171;0.012195
Subject16;Group2;Map1;73;93;15;82.966395;0.858177;0.030049;0.926677;93;1.487091;1.487091;93;1.242678;7.071068;0.182927;0.024390
Subject16;Group2;Map2;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject16;Group2;Map3;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject16;Group2;Map4;83;119;32;103.636815;0.933566;0.146138;0.959072;114;1.885768;1.959383;109;1.726474;12.489996;0.390244;0.024390
Subject16;Group2;Map5;120;154;35;135.348908;0.938615;0.097834;0.959240;133;1.471246;1.704370;120;1.340183;35.000000;0.426829;0.012195
